+-----+------+------------------+--------------+------------------+-------------------+----------------+
|     |   ID |          Fortune |      Percent |   Cumulative_sum |   Initial_fortune |   Increased_by |
| 201 |  893 |      1.66348e+06 |  0.00105853  |        0.738003  |          25484.3  |     64.2747    |
| 202 |  822 |      1.6493e+06  |  0.0010495   |        0.739052  |           2400    |    686.208     |
| 203 |  829 |      1.64523e+06 |  0.00104691  |        0.740099  |           2400    |    684.512     |
| 204 |  480 |      1.63915e+06 |  0.00104304  |        0.741142  |         560556    |      1.92415   |
| 205 |  906 |      1.62569e+06 |  0.00103448  |        0.742176  |          45832.5  |     34.4703    |
| 206 |   69 |      1.62505e+06 |  0.00103407  |        0.743211  |           3840.3  |    422.157     |
| 207 |  240 |      1.62415e+06 |  0.0010335   |        0.744244  |           2400    |    675.729     |
| 208 |  115 |      1.6107e+06  |  0.00102494  |        0.745269  |          10984.2  |    145.638     |
| 209 |  599 |      1.60357e+06 |  0.0010204   |        0.746289  |           8289.9  |    192.436     |
| 210 |    6 |      1.59521e+06 |  0.00101508  |        0.747304  |          50666.2  |     30.4847    |
| 211 |  767 |      1.58876e+06 |  0.00101098  |        0.748315  |          15789.2  |     99.6232    |
| 212 |  674 |      1.58823e+06 |  0.00101064  |        0.749326  |          38356.5  |     40.4072    |
| 213 |  642 |      1.58455e+06 |  0.0010083   |        0.750334  |           2400    |    659.23      |
| 214 |   12 |      1.58202e+06 |  0.00100669  |        0.751341  |          46254.8  |     33.2023    |
| 215 |  751 |      1.57908e+06 |  0.00100482  |        0.752346  |          82079.5  |     18.2384    |
| 216 |   11 |      1.57124e+06 |  0.000999829 |        0.753346  |          43172.2  |     35.3946    |
| 217 |  461 |      1.56824e+06 |  0.000997918 |        0.754344  |           2400    |    652.432     |
| 218 |  910 |      1.55928e+06 |  0.00099222  |        0.755336  |           2400    |    648.701     |
| 219 |  228 |      1.55245e+06 |  0.000987876 |        0.756324  |          18728.5  |     81.8924    |
| 220 |  520 |      1.53793e+06 |  0.000978633 |        0.757302  |           2400    |    639.804     |
| 221 |  498 |      1.53422e+06 |  0.000976273 |        0.758279  |           2400    |    638.258     |
| 222 |   91 |      1.51475e+06 |  0.000963881 |        0.759243  |          28214.5  |     52.6867    |
| 223 |  124 |      1.51215e+06 |  0.000962227 |        0.760205  |           4223.7  |    357.015     |
| 224 |  899 |      1.51158e+06 |  0.000961865 |        0.761167  |          38816.5  |     37.9417    |
| 225 |  636 |      1.50401e+06 |  0.000957048 |        0.762124  |          52428    |     27.6871    |
| 226 |  326 |      1.49756e+06 |  0.000952943 |        0.763077  |          21635.5  |     68.2175    |
| 227 |  549 |      1.49568e+06 |  0.000951748 |        0.764028  |          29962.2  |     48.9189    |
| 228 |   14 |      1.49552e+06 |  0.000951644 |        0.76498   |          35049    |     41.6693    |
| 229 |  390 |      1.49411e+06 |  0.000950748 |        0.765931  |           2400    |    621.545     |
| 230 |  318 |      1.48511e+06 |  0.000945021 |        0.766876  |           1925.1  |    770.445     |
| 231 |  662 |      1.48458e+06 |  0.000944685 |        0.76782   |           2400    |    617.575     |
| 232 |  235 |      1.48265e+06 |  0.000943459 |        0.768764  |          39687.8  |     36.358     |
| 233 |  476 |      1.4761e+06  |  0.00093929  |        0.769703  |          75079.5  |     18.6605    |
| 234 |  234 |      1.4686e+06  |  0.000934519 |        0.770638  |           2400    |    610.919     |
| 235 |  530 |      1.46697e+06 |  0.000933479 |        0.771571  |           2400    |    610.237     |
| 236 |  366 |      1.46676e+06 |  0.000933345 |        0.772505  |          33932.5  |     42.2258    |
| 237 |  152 |      1.46607e+06 |  0.000932909 |        0.773437  |          27774.2  |     51.7854    |
| 238 |  948 |      1.4629e+06  |  0.000930886 |        0.774368  |          46555.5  |     30.4226    |
| 239 |  314 |      1.46171e+06 |  0.000930131 |        0.775298  |          36113.2  |     39.4757    |
| 240 |  917 |      1.45834e+06 |  0.000927985 |        0.776226  |          23532.8  |     60.9705    |
| 241 |  817 |      1.45231e+06 |  0.000924148 |        0.777151  |           5470.2  |    264.494     |
| 242 |  146 |      1.45179e+06 |  0.00092382  |        0.778074  |          29064.5  |     48.9506    |
| 243 |  511 |      1.43784e+06 |  0.000914942 |        0.778989  |          52050    |     26.6242    |
| 244 |  248 |      1.43445e+06 |  0.000912786 |        0.779902  |         515556    |      1.78234   |
| 245 |  971 |      1.43124e+06 |  0.000910742 |        0.780813  |          17704.3  |     79.8413    |
| 246 |  303 |      1.43113e+06 |  0.000910674 |        0.781724  |          37890    |     36.7707    |
| 247 |  546 |      1.40836e+06 |  0.000896186 |        0.78262   |          82079.5  |     16.1585    |
| 248 |  286 |      1.40531e+06 |  0.000894246 |        0.783514  |           2400    |    584.548     |
| 249 |  351 |      1.40322e+06 |  0.000892915 |        0.784407  |           2400    |    583.676     |
| 250 |  292 |      1.4028e+06  |  0.000892643 |        0.7853    |          10296.5  |    135.239     |
| 251 |  565 |      1.40227e+06 |  0.000892309 |        0.786192  |          29479.3  |     46.5679    |
| 252 |   26 |      1.39901e+06 |  0.000890232 |        0.787082  |          37656    |     36.1523    |
| 253 |  729 |      1.39477e+06 |  0.000887539 |        0.78797   |          62494.5  |     21.3183    |
| 254 |  684 |      1.3933e+06  |  0.000886603 |        0.788856  |          75079.5  |     17.5577    |
| 255 |  963 |      1.38301e+06 |  0.000880053 |        0.789736  |          13018.2  |    105.236     |
| 256 |   56 |      1.37765e+06 |  0.000876643 |        0.790613  |          22795.8  |     59.4344    |
| 257 |  108 |      1.37283e+06 |  0.000873572 |        0.791487  |         560556    |      1.44904   |
| 258 |  194 |      1.37166e+06 |  0.000872829 |        0.792359  |           2400    |    570.524     |
| 259 |  753 |      1.36347e+06 |  0.000867619 |        0.793227  |           2400    |    567.113     |
| 260 |   53 |      1.36284e+06 |  0.000867218 |        0.794094  |         560556    |      1.43123   |
| 261 |  598 |      1.35495e+06 |  0.000862197 |        0.794956  |           2400    |    563.562     |
| 262 |  735 |      1.35042e+06 |  0.000859316 |        0.795816  |           2400    |    561.676     |
| 263 |  784 |      1.34824e+06 |  0.000857929 |        0.796674  |          13032.7  |    102.451     |
| 264 |  710 |      1.34644e+06 |  0.00085678  |        0.79753   |           8172    |    163.762     |
| 265 |  548 |      1.34067e+06 |  0.000853109 |        0.798384  |           2400    |    557.611     |
| 266 |  280 |      1.33958e+06 |  0.000852415 |        0.799236  |           5963.4  |    223.633     |
| 267 |   23 |      1.33567e+06 |  0.00084993  |        0.800086  |          35134.5  |     37.016     |
| 268 |  613 |      1.32864e+06 |  0.000845457 |        0.800931  |          19525.8  |     67.0453    |
| 269 |  307 |      1.32419e+06 |  0.000842622 |        0.801774  |           2400    |    550.745     |
| 270 |   77 |      1.32236e+06 |  0.000841458 |        0.802615  |          52946.2  |     23.9755    |
| 271 |   86 |      1.3205e+06  |  0.000840274 |        0.803456  |          33563.6  |     38.3431    |
| 272 |  521 |      1.31859e+06 |  0.000839057 |        0.804295  |           2400    |    548.41      |
| 273 |  336 |      1.31465e+06 |  0.000836554 |        0.805131  |          11113.4  |    117.294     |
| 274 |  877 |      1.30893e+06 |  0.000832916 |        0.805964  |           5204.7  |    250.491     |
| 275 |   65 |      1.30841e+06 |  0.000832585 |        0.806797  |           4206.6  |    310.038     |
| 276 |  604 |      1.30698e+06 |  0.000831672 |        0.807628  |          29810.8  |     42.8424    |
| 277 |  474 |      1.30693e+06 |  0.000831642 |        0.80846   |          35085    |     36.2505    |
| 278 |  252 |      1.30271e+06 |  0.000828958 |        0.809289  |          58980.8  |     21.0871    |
| 279 |  186 |      1.28394e+06 |  0.000817011 |        0.810106  |          18823.8  |     67.2085    |
| 280 |  371 |      1.27284e+06 |  0.00080995  |        0.810916  |           2400    |    529.351     |
